Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 1,4710,Potter Greens,65-69,114
Ward 6,1150,Oliver,75-79,484
Ward 12,6140,Crawford Plains,25-29,244
Ward 8,6070,Cloverdale,75-79,22
Ward 12,6150,Daly Grove,65-69,155
Ward 2,3250,Kensington,75-79,173
Ward 12,6661,Charlesworth,0-4,446
Ward 10,5430,Royal Gardens,40-44,210
Ward 9,5462,Chappelle Area,75-79,22
Ward 10,5490,Sweet Grass,70-74,95
Ward 11,6460,Meyokumin,80-84,25
Ward 7,2650,River Valley Rundle,35-39,0
Ward 3,2600,Ozerna,10-14,218
Ward 5,4466,Cameron Heights,55-59,110
Ward 3,3490,Goodridge Corners,80-84,0
Ward 4,2070,Belmont,10-14,330
Ward 11,6640,Roper Industrial,85+,0
Ward 10,5030,Bearspaw,0-4,70
Ward 3,2463,Crystallina Nera West,60-64,53
Ward 4,2030,Bannerman,75-79,54
Ward 4,2160,Clover Bar Area,35-39,0
Ward 6,1180,Queen Mary Park,70-74,122
Ward 1,4730,Suder Greens,75-79,59
Ward 8,5480,Strathcona,Prefer Not to Answer,2164
Ward 1,4490,Sheffield Industrial,65-69,0
Ward 10,5590,Blackburne,10-14,68
Ward 7,2040,Beacon Heights,45-49,166
Ward 10,5400,River Valley Whitemud,55-59,0
Ward 12,6665,Anthony Henday South East,30-34,0
Ward 12,6444,Laurel,40-44,1033
Ward 6,3300,McQueen,55-59,102
Ward 1,4340,Morin Industrial,5-9,0
Ward 7,2010,Abbottsfield,25-29,108
Ward 9,5640,Terwillegar Towne,40-44,487
Ward 10,5250,Keheewin,50-54,162
Ward 3,2450,Lago Lindo,5-9,195
Ward 2,3340,Pembina,5-9,18
Ward 11,6100,Coronet Industrial,55-59,0
Ward 4,2270,Evergreen,20-24,46
Ward 2,1111,Blatchford Area,5-9,0
Ward 11,6650,Rosedale Industrial,40-44,0
Ward 4,2251,Ebbers,70-74,8
Ward 1,4290,Mayfield,5-9,112
Ward 11,6290,Hazeldean,50-54,156
Ward 3,3030,Baturyn,60-64,306
Ward 3,4016,Anthony Henday Castledowns,85+,0
Ward 8,6550,Ottewell,65-69,284
Ward 3,2450,Lago Lindo,55-59,315
Ward 9,5640,Terwillegar Towne,85+,109
Ward 11,6560,Papaschase Industrial,20-24,0
Ward 5,4070,Callingwood North,70-74,67
Ward 10,5453,Blackmud Creek,75-79,62
Ward 9,8888,Edmonton South West,65-69,7
Ward 11,6260,Girard Industrial,20-24,0
Ward 9,5380,River Valley Terwillegar,15-19,0
Ward 4,2280,Fraser,Prefer Not to Answer,338
Ward 8,6491,Mill Creek Ravine North,0-4,0
Ward 3,2700,Schonsee,40-44,331
Ward 10,5466,Cashman,20-24,0
Ward 10,5470,Steinhauer,0-4,104
Ward 7,2640,River Valley Highlands,25-29,0
Ward 9,5570,Windermere,60-64,405
Ward 11,6010,Argyll,65-69,45
Ward 6,3210,Grovenor,Prefer Not to Answer,299
Ward 3,2440,Klarvatten,30-34,402
Ward 10,5280,Malmo Plains,85+,69
Ward 11,6400,Lee Ridge,65-69,135
Ward 11,6500,Mill Woods Golf Course,30-34,0
Ward 9,5090,Brookside,0-4,104
Ward 3,2600,Ozerna,85+,39
Ward 5,4380,Ormsby Place,75-79,84
Ward 1,3380,River Valley Capitol Hill,40-44,0
Ward 8,6320,Idylwylde,5-9,68
Ward 10,5260,Lansdowne,60-64,79
Ward 8,5390,River Valley Walterdale,45-49,0
Ward 6,3381,River Valley Glenora,65-69,0
Ward 6,1030,Central McDougall,75-79,41
Ward 2,3260,Lauderdale,80-84,62
Ward 10,5560,Whitemud Creek Ravine South,85+,0
Ward 6,1030,Central McDougall,20-24,375
Ward 10,5070,Blue Quill Estates,30-34,127
Ward 2,3240,Inglewood,55-59,347
Ward 12,6790,Wild Rose,10-14,518
Ward 2,3070,Calder,40-44,215
Ward 5,4160,Gariepy,20-24,106
Ward 9,5630,Leger,75-79,47
Ward 12,6214,Ellerslie Industrial,75-79,0
Ward 2,3111,Griesbach,80-84,53
Ward 9,5579,Glenridding Ravine,20-24,0
Ward 6,3200,Glenora,0-4,137
Ward 4,2145,Clareview Town Centre,10-14,151
Ward 9,5452,MacEwan,0-4,287
Ward 5,4160,Gariepy,45-49,98
Ward 8,5480,Strathcona,25-29,1048
Ward 5,4160,Gariepy,55-59,122
Ward 8,6310,Holyrood,55-59,232
Ward 11,6200,Ekota,35-39,205
Ward 3,2700,Schonsee,0-4,268
Ward 4,2611,Cy Becker,10-14,130
Ward 1,4474,Starling,35-39,157
Ward 4,2530,McLeod,55-59,148
Ward 11,6020,Avonmore,65-69,119
Ward 7,2660,Rundle Heights,65-69,114
Ward 5,4468,Stillwater,75-79,0
Ward 5,4463,Riverview Area,85+,3
Ward 1,4660,Youngstown Industrial,70-74,0
Ward 9,5576,Keswick Area,Prefer Not to Answer,65
Ward 5,4463,Riverview Area,20-24,27
Ward 2,4023,Anthony Henday Rampart,50-54,0
Ward 7,1270,Yellowhead Corridor East,30-34,0
Ward 9,8888,Edmonton South West,85+,8
Ward 4,2030,Bannerman,80-84,24
Ward 10,5260,Lansdowne,85+,36
Ward 10,5400,River Valley Whitemud,30-34,0
Ward 6,1180,Queen Mary Park,20-24,586
Ward 4,2681,Edmonton Energy And Technology Park,85+,2
Ward 11,6500,Mill Woods Golf Course,25-29,0
Ward 8,6630,River Valley Riverside,30-34,0
Ward 2,3070,Calder,0-4,173
Ward 7,2010,Abbottsfield,55-59,58
Ward 10,5060,Blue Quill,15-19,212
Ward 8,5370,River Valley Mayfair,15-19,0
Ward 8,6040,Bonnie Doon,65-69,222
Ward 2,3070,Calder,50-54,217
Ward 11,6500,Mill Woods Golf Course,75-79,0
Ward 11,6290,Hazeldean,35-39,243
Ward 1,4700,Breckenridge Greens,Prefer Not to Answer,247
Ward 1,4710,Potter Greens,30-34,40
Ward 2,4023,Anthony Henday Rampart,25-29,0
Ward 12,6660,Rural South East,40-44,0
Ward 5,4467,River Valley Cameron,85+,0
Ward 5,4461,The Hamptons,25-29,676
Ward 2,4330,Mitchell Industrial,20-24,0
Ward 3,2511,Mayliewan,35-39,205
Ward 7,2360,Industrial Heights,Prefer Not to Answer,0
Ward 8,6730,Terrace Heights,45-49,109
Ward 3,2440,Klarvatten,40-44,436
Ward 5,4220,Jamieson Place,10-14,216
Ward 9,5642,South Terwillegar,40-44,912
Ward 2,3250,Kensington,Prefer Not to Answer,385
Ward 9,5476,Magrath Heights,45-49,321
Ward 9,5340,Ramsay Heights,80-84,65
Ward 11,6170,Davies Industrial West,5-9,0
Ward 11,6680,Satoo,25-29,158
Ward 7,1130,Elmwood Park,25-29,65
Ward 4,2630,River Valley Hermitage,35-39,0
Ward 8,5290,McKernan,15-19,68
Ward 8,6180,Eastgate Business Park,70-74,0
Ward 2,4210,High Park Industrial,80-84,0
Ward 1,4350,Norwester Industrial,0-4,0
Ward 9,5080,Brander Gardens,0-4,109
Ward 9,5456,Heritage Valley Area,15-19,0
Ward 12,8886,Edmonton South East,55-59,17
Ward 11,6690,Southeast Industrial,40-44,0
Ward 7,2230,Delwood,75-79,155
Ward 1,3380,River Valley Capitol Hill,75-79,0
Ward 1,4130,Edmiston Industrial,5-9,0
Ward 11,6480,Michaels Park,80-84,36
Ward 7,2580,Northmount,10-14,155
Ward 12,6662,Walker,5-9,915
Ward 1,4530,Sunwapta Industrial,5-9,0
Ward 12,6580,Pollard Meadows,85+,18
Ward 10,5260,Lansdowne,30-34,91
Ward 3,2462,Crystallina Nera East,85+,0
Ward 5,3382,River Valley Laurier,85+,0
Ward 9,5476,Magrath Heights,10-14,331
Ward 1,4477,Kinglet Gardens,15-19,11
Ward 2,4015,Anthony Henday Mistatim,25-29,0
Ward 1,4750,Rosenthal,30-34,380
Ward 1,4180,Glenwood,0-4,180
Ward 11,6520,Mill Woods Town Centre,75-79,81
Ward 1,4473,Hawks Ridge,10-14,35
Ward 11,6420,Maple Ridge Industrial,85+,0
Ward 1,4640,Wilson Industrial,35-39,0
Ward 12,6445,Aster,60-64,0
Ward 5,4464,The Uplands,75-79,1
Ward 8,6491,Mill Creek Ravine North,35-39,0
Ward 7,1070,Cromdale,15-19,46
Ward 11,6700,Strathcona Industrial Park,10-14,0
Ward 11,6090,Coronet Addition Industrial,40-44,0
Ward 10,5457,Callaghan,45-49,226
Ward 6,3210,Grovenor,30-34,202
Ward 2,3220,Hagmann Estate Industrial,50-54,0
Ward 2,3020,Baranow,75-79,45
Ward 9,5469,Paisley,60-64,22
Ward 11,6410,Maple Ridge,65-69,117
Ward 10,5070,Blue Quill Estates,75-79,42
Ward 9,5565,Whitemud Creek Ravine Twin Brooks,70-74,0
Ward 11,6570,Parsons Industrial,10-14,0
Ward 11,6090,Coronet Addition Industrial,5-9,0
Ward 11,6760,Tweddle Place,80-84,47
Ward 9,5620,Hodgson,10-14,182
Ward 7,2040,Beacon Heights,35-39,171
Ward 9,5230,Henderson Estates,75-79,67
Ward 6,3310,North Glenora,45-49,117
Ward 12,6580,Pollard Meadows,Prefer Not to Answer,462
Ward 1,4190,Hawin Park Estate Industrial,30-34,0
Ward 9,5505,Ambleside,45-49,352
Ward 5,4120,Donsdale,50-54,87
Ward 12,6770,Weinlos,0-4,132
Ward 3,2260,Evansdale,65-69,184
Ward 4,2110,Brintnell,50-54,355
Ward 12,6442,Silver Berry,85+,25
Ward 10,5030,Bearspaw,15-19,77
Ward 4,2611,Cy Becker,75-79,2
Ward 11,6670,Sakaw,20-24,271
Ward 5,4140,Elmwood,75-79,64
Ward 9,5465,Hays Ridge Area,15-19,25
Ward 3,4017,Anthony Henday Lake District,75-79,0
Ward 3,2410,Kilkenny,40-44,306
Ward 11,6190,Edmonton Research and Development Park,65-69,0
Ward 10,5511,Twin Brooks,Prefer Not to Answer,973
Ward 11,6160,Davies Industrial East,40-44,0
Ward 2,3350,Prince Charles,65-69,62
Ward 11,6492,Mill Creek Ravine South,65-69,0
Ward 11,6330,Jackson Heights,0-4,131
Ward 2,4210,High Park Industrial,45-49,0
Ward 8,6350,Kenilworth,75-79,97
Ward 1,4700,Breckenridge Greens,20-24,74
Ward 11,6340,Kameyosek,55-59,120
Ward 11,6540,Morris Industrial,60-64,0
Ward 5,4270,Lymburn,0-4,258
Ward 10,5210,Grandview Heights,65-69,73
Ward 4,2390,Kernohan,20-24,130
Ward 4,2110,Brintnell,0-4,427
Ward 2,3220,Hagmann Estate Industrial,35-39,0
Ward 2,3070,Calder,85+,61
Ward 2,3410,Sherbrooke,70-74,61
Ward 3,2450,Lago Lindo,10-14,206
Ward 11,6470,Meyonohk,0-4,101
Ward 3,2600,Ozerna,75-79,94
Ward 7,1270,Yellowhead Corridor East,50-54,0
Ward 5,4462,Edgemont,85+,10
Ward 7,2650,River Valley Rundle,80-84,0
Ward 5,4570,Wedgewood Heights,0-4,44
Ward 2,3170,Dovercourt,10-14,87
Ward 3,4017,Anthony Henday Lake District,70-74,0
Ward 12,6580,Pollard Meadows,70-74,118
Ward 12,6770,Weinlos,70-74,130
Ward 10,5310,Parkallen,35-39,141
Ward 3,3030,Baturyn,20-24,254
Ward 6,3310,North Glenora,60-64,126
Ward 9,5620,Hodgson,45-49,199
Ward 9,5464,Heritage Valley Town Centre Area,15-19,10
Ward 4,2430,Kirkness,75-79,55
Ward 9,5642,South Terwillegar,0-4,567
Ward 4,2110,Brintnell,25-29,395
Ward 5,4430,Rio Terrace,30-34,80
Ward 7,2090,Bergman,80-84,27
Ward 1,4590,West Meadowlark Park,0-4,128
Ward 10,5070,Blue Quill Estates,25-29,80
Ward 5,3270,Laurier Heights,50-54,136
Ward 6,1030,Central McDougall,10-14,122
Ward 5,4551,Granville,20-24,121
Ward 11,6610,Ritchie,65-69,193
Ward 8,5480,Strathcona,60-64,373
Ward 10,5360,Rideau Park,10-14,53
Ward 4,2430,Kirkness,50-54,216
Ward 10,5320,Pleasantview,45-49,208
Ward 1,4180,Glenwood,45-49,207
Ward 6,1210,Riverdale,60-64,156
Ward 7,1070,Cromdale,75-79,34
Ward 10,5540,Westbrook Estates,Prefer Not to Answer,85
Ward 11,6430,McIntyre Industrial,75-79,0
Ward 11,6200,Ekota,Prefer Not to Answer,141
Ward 5,4461,The Hamptons,15-19,686
Ward 3,2410,Kilkenny,55-59,355
Ward 9,5462,Chappelle Area,40-44,657
Ward 11,6280,Greenview,65-69,195
Ward 11,6020,Avonmore,40-44,147
Ward 11,6090,Coronet Addition Industrial,10-14,0
Ward 1,4470,Rural West Big Lake,85+,0
Ward 1,4600,West Sheffield Industrial,15-19,0
Ward 9,5610,Haddow,70-74,185
Ward 4,4021,Anthony Henday Horse Hill,50-54,0
Ward 7,1070,Cromdale,Prefer Not to Answer,402
Ward 8,6070,Cloverdale,70-74,28
Ward 3,2700,Schonsee,20-24,230
Ward 10,5360,Rideau Park,55-59,114
Ward 3,4016,Anthony Henday Castledowns,0-4,0
Ward 7,2640,River Valley Highlands,Prefer Not to Answer,0
Ward 9,5465,Hays Ridge Area,65-69,29
Ward 6,3210,Grovenor,50-54,130
Ward 2,3260,Lauderdale,50-54,140
Ward 6,1030,Central McDougall,50-54,194
Ward 11,6090,Coronet Addition Industrial,35-39,0
Ward 8,6380,Lambton Industrial,15-19,0
Ward 10,5490,Sweet Grass,10-14,155
Ward 2,4210,High Park Industrial,35-39,0
Ward 10,5460,Skyrattler,60-64,137
Ward 5,4463,Riverview Area,15-19,28
Ward 2,1230,Spruce Avenue,85+,15
Ward 9,5620,Hodgson,85+,34
Ward 7,1100,Eastwood,10-14,125
Ward 6,1210,Riverdale,15-19,76
Ward 11,6090,Coronet Addition Industrial,25-29,0
Ward 11,6560,Papaschase Industrial,55-59,0
Ward 7,1100,Eastwood,75-79,62
Ward 2,3460,Albany,50-54,59
Ward 4,2280,Fraser,30-34,276
Ward 12,6140,Crawford Plains,10-14,257
Ward 3,3190,Elsinore,10-14,149
Ward 11,6420,Maple Ridge Industrial,65-69,0
Ward 7,2040,Beacon Heights,80-84,74
Ward 9,5230,Henderson Estates,15-19,139
Ward 10,5400,River Valley Whitemud,80-84,0
Ward 3,3190,Elsinore,50-54,170
Ward 10,5160,Duggan,45-49,262
Ward 5,4560,Thorncliff,80-84,42
Ward 2,4320,Mistatim Industrial,Prefer Not to Answer,0
Ward 8,6320,Idylwylde,15-19,56
Ward 8,5200,Garneau,0-4,135
Ward 9,5452,MacEwan,70-74,149
Ward 3,3040,Beaumaris,55-59,257
Ward 10,5260,Lansdowne,40-44,64
Ward 1,4490,Sheffield Industrial,35-39,0
Ward 12,6660,Rural South East,80-84,0
Ward 11,6640,Roper Industrial,35-39,0
Ward 11,6160,Davies Industrial East,75-79,0
Ward 2,4320,Mistatim Industrial,25-29,0
Ward 5,4551,Granville,30-34,243
Ward 11,6100,Coronet Industrial,80-84,0
Ward 3,3180,Dunluce,85+,43
Ward 8,5151,Strathcona Junction,35-39,0
Ward 9,5090,Brookside,5-9,140
Ward 1,4486,Stewart Greens,10-14,61
Ward 9,5469,Paisley,45-49,52
Ward 11,6700,Strathcona Industrial Park,15-19,0
Ward 8,6620,River Valley Gold Bar,5-9,0
Ward 3,4016,Anthony Henday Castledowns,60-64,0
Ward 4,2145,Clareview Town Centre,65-69,88
Ward 9,5576,Keswick Area,65-69,38
Ward 9,5477,Mactaggart,65-69,144
Ward 2,1250,Westwood,15-19,70
Ward 11,6410,Maple Ridge,35-39,88
Ward 10,5110,Calgary Trail North,Prefer Not to Answer,67
Ward 3,3180,Dunluce,60-64,412
Ward 2,4210,High Park Industrial,25-29,0
Ward 7,2580,Northmount,75-79,141
Ward 12,6665,Anthony Henday South East,55-59,0
Ward 11,6340,Kameyosek,15-19,150
Ward 4,2430,Kirkness,0-4,217
Ward 2,3090,Carlisle,10-14,254
Ward 2,3010,Athlone,5-9,157
Ward 3,2462,Crystallina Nera East,45-49,0
Ward 10,5360,Rideau Park,80-84,64
Ward 7,2330,Highlands,45-49,151
Ward 10,5467,Cavanagh,5-9,90
Ward 5,4551,Granville,75-79,21
Ward 1,4130,Edmiston Industrial,65-69,0
Ward 7,1190,River Valley Kinnaird,35-39,0
Ward 5,4420,Quesnell Heights,45-49,15
Ward 11,6690,Southeast Industrial,0-4,0
Ward 11,6780,Weir Industrial,Prefer Not to Answer,0
Ward 2,3350,Prince Charles,15-19,64
Ward 7,2650,River Valley Rundle,45-49,0
Ward 8,5520,University of Alberta,5-9,0
Ward 12,6441,Maple,80-84,6
Ward 6,1150,Oliver,85+,468
Ward 2,3340,Pembina,15-19,18
Ward 11,6700,Strathcona Industrial Park,5-9,0
Ward 11,6700,Strathcona Industrial Park,40-44,0
Ward 4,2590,Overlanders,75-79,38
Ward 6,1030,Central McDougall,0-4,213
Ward 5,4080,Callingwood South,Prefer Not to Answer,900
Ward 1,4010,Alberta Park Industrial,55-59,0
Ward 1,4200,High Park,35-39,93
Ward 2,3460,Albany,5-9,97
Ward 10,5451,Richford,Prefer Not to Answer,71
Ward 10,5260,Lansdowne,35-39,74
Ward 3,2462,Crystallina Nera East,70-74,0
Ward 9,5340,Ramsay Heights,65-69,235
Ward 4,2160,Clover Bar Area,75-79,0
Ward 2,1170,Prince Rupert,65-69,54
Ward 9,5463,Desrochers Area,20-24,36
Ward 8,6491,Mill Creek Ravine North,15-19,0
Ward 9,5405,River Valley Windermere,55-59,0
Ward 10,5460,Skyrattler,75-79,52
Ward 1,4310,Meadowlark Park,30-34,159
Ward 10,5030,Bearspaw,70-74,136
Ward 1,4180,Glenwood,5-9,214
Ward 10,5250,Keheewin,5-9,99
Ward 8,6620,River Valley Gold Bar,35-39,0
Ward 9,5405,River Valley Windermere,40-44,0
Ward 8,5580,Windsor Park,20-24,239
Ward 10,5550,Whitemud Creek Ravine North,10-14,0
Ward 10,5270,Lendrum Place,20-24,110
Ward 1,3330,Parkview,50-54,198
Ward 5,4160,Gariepy,40-44,106
Ward 7,2010,Abbottsfield,35-39,142
Ward 10,5030,Bearspaw,65-69,167
Ward 2,4330,Mitchell Industrial,85+,0
Ward 1,4471,Trumpeter Area,15-19,49
Ward 7,1120,Edmonton Northlands,20-24,0
Ward 7,2060,Bellevue,Prefer Not to Answer,109
Ward 6,3210,Grovenor,25-29,136
Ward 2,3220,Hagmann Estate Industrial,65-69,0
Ward 11,6750,Tipaskan,5-9,177
Ward 9,5465,Hays Ridge Area,60-64,34
Ward 10,5560,Whitemud Creek Ravine South,15-19,0
Ward 12,6443,Tamarack,15-19,362
Ward 6,1220,Rossdale,55-59,61
Ward 2,3390,Rosslyn,80-84,80
Ward 1,4130,Edmiston Industrial,75-79,0
Ward 2,4023,Anthony Henday Rampart,15-19,0
Ward 10,5170,Empire Park,65-69,124
Ward 3,2440,Klarvatten,Prefer Not to Answer,446
Ward 1,4540,Terra Losa,5-9,52
Ward 4,2521,McConachie Area,25-29,681
Ward 11,6250,Gainer Industrial,85+,0
Ward 12,6770,Weinlos,Prefer Not to Answer,381
Ward 10,5270,Lendrum Place,35-39,86
Ward 11,6200,Ekota,10-14,195
Ward 1,4750,Rosenthal,40-44,317
Ward 2,3430,Wellington,5-9,206
Ward 2,3290,McArthur Industrial,35-39,0
Ward 7,1160,Parkdale,Prefer Not to Answer,615
Ward 9,5505,Ambleside,20-24,212
Ward 4,2671,Marquis,75-79,0
Ward 7,2330,Highlands,55-59,200
Ward 6,3300,McQueen,0-4,91
Ward 12,8886,Edmonton South East,35-39,11
Ward 4,2030,Bannerman,45-49,129
Ward 4,2251,Ebbers,60-64,16
Ward 1,4030,Armstrong Industrial,65-69,0
Ward 3,2260,Evansdale,55-59,259
Ward 10,5310,Parkallen,55-59,123
Ward 9,5610,Haddow,80-84,102
Ward 8,6230,Forest Heights,20-24,153
Ward 8,6040,Bonnie Doon,50-54,253
Ward 5,3382,River Valley Laurier,5-9,0
Ward 4,2720,York,55-59,209
Ward 9,5505,Ambleside,75-79,64
Ward 9,5579,Glenridding Ravine,35-39,0
Ward 4,2380,Kennedale Industrial,30-34,0
Ward 12,6211,Ellerslie,30-34,462
Ward 11,6600,Richfield,55-59,172
Ward 3,2463,Crystallina Nera West,5-9,174
Ward 8,6380,Lambton Industrial,30-34,0
Ward 10,5210,Grandview Heights,5-9,78
Ward 5,3270,Laurier Heights,10-14,152
Ward 11,6640,Roper Industrial,25-29,0
Ward 4,2390,Kernohan,55-59,214
Ward 8,6730,Terrace Heights,70-74,44
Ward 10,5530,University of Alberta Farm,70-74,0
Ward 11,6750,Tipaskan,80-84,25
Ward 10,4024,Anthony Henday South Blackburne,65-69,0
Ward 5,4012,Anthony Henday South West,0-4,0
Ward 2,3430,Wellington,35-39,212
Ward 1,4475,Kinokamau Plains Area,Prefer Not to Answer,4
Ward 8,6230,Forest Heights,85+,117
Ward 9,5579,Glenridding Ravine,0-4,0
Ward 7,2020,Balwin,35-39,268
Ward 7,2330,Highlands,25-29,113
Ward 11,6450,Menisa,10-14,120
Ward 8,5520,University of Alberta,60-64,0
Ward 11,6460,Meyokumin,5-9,162
Ward 5,4570,Wedgewood Heights,10-14,79
Ward 11,6195,South Edmonton Common,75-79,0
Ward 2,3360,Rampart Industrial,85+,0
Ward 10,5120,Calgary Trail South,Prefer Not to Answer,0
Ward 2,4330,Mitchell Industrial,5-9,0
Ward 1,4410,Poundmaker Industrial,30-34,0
Ward 6,1150,Oliver,10-14,116
Ward 11,6520,Mill Woods Town Centre,10-14,14
Ward 9,5454,Rutherford,85+,147
Ward 10,5280,Malmo Plains,40-44,171
Ward 10,5540,Westbrook Estates,30-34,60
Ward 10,5060,Blue Quill,35-39,355
Ward 2,3160,Dominion Industrial,25-29,0
Ward 6,1090,Downtown,Prefer Not to Answer,2353
Ward 3,2410,Kilkenny,25-29,396
Ward 11,6510,Mill Woods Park,25-29,0
Ward 9,5456,Heritage Valley Area,50-54,0
Ward 2,3150,Cumberland,40-44,478
Ward 2,3070,Calder,55-59,287
Ward 1,4700,Breckenridge Greens,75-79,56
Ward 1,4100,Carleton Square Industrial,65-69,0
Ward 9,5505,Ambleside,5-9,535
Ward 6,1140,McCauley,0-4,68
Ward 1,4230,Jasper Park,15-19,68
Ward 8,5520,University of Alberta,30-34,0
Ward 10,5250,Keheewin,60-64,209
Ward 3,2440,Klarvatten,60-64,281
Ward 11,6610,Ritchie,Prefer Not to Answer,918
Ward 2,3470,Carlton,Prefer Not to Answer,937
Ward 10,5120,Calgary Trail South,35-39,0
Ward 10,5451,Richford,65-69,79
Ward 5,4468,Stillwater,15-19,7
Ward 1,4740,Webber Greens,60-64,106
Ward 1,4660,Youngstown Industrial,80-84,0
Ward 4,2681,Edmonton Energy And Technology Park,45-49,9
Ward 5,4461,The Hamptons,60-64,369
Ward 1,4710,Potter Greens,25-29,48
Ward 5,4110,Dechene,20-24,102
Ward 2,3170,Dovercourt,20-24,77
Ward 9,5468,Graydon Hill,45-49,41
Ward 9,5452,MacEwan,55-59,275
Ward 12,6662,Walker,80-84,19
Ward 11,6330,Jackson Heights,35-39,241
Ward 8,6270,Gold Bar,20-24,136
Ward 7,2360,Industrial Heights,5-9,0
Ward 2,3220,Hagmann Estate Industrial,45-49,0
Ward 5,4451,River Valley Oleskiw,5-9,0
Ward 6,1090,Downtown,35-39,1080
Ward 12,6665,Anthony Henday South East,25-29,0
Ward 11,6700,Strathcona Industrial Park,30-34,0
Ward 2,1111,Blatchford Area,50-54,0
Ward 10,5320,Pleasantview,5-9,168
Ward 1,4530,Sunwapta Industrial,40-44,0
Ward 9,5401,River Valley Fort Edmonton,50-54,0
Ward 1,4471,Trumpeter Area,60-64,58
Ward 11,6420,Maple Ridge Industrial,75-79,0
Ward 8,6310,Holyrood,20-24,169
Ward 11,6170,Davies Industrial West,40-44,0
Ward 4,2681,Edmonton Energy And Technology Park,50-54,9
Ward 10,5050,Blackmud Creek Ravine,25-29,0
Ward 1,4630,White Industrial,55-59,0
Ward 8,5480,Strathcona,5-9,190
Ward 3,2511,Mayliewan,45-49,232
Ward 5,4110,Dechene,0-4,43
Ward 9,5100,Bulyea Heights,30-34,126
Ward 10,5320,Pleasantview,10-14,165
Ward 6,1140,McCauley,60-64,233
Ward 9,5630,Leger,0-4,67
Ward 7,1160,Parkdale,35-39,274
Ward 7,2400,Kildare,35-39,144
Ward 7,1160,Parkdale,40-44,226
Ward 6,1180,Queen Mary Park,30-34,733
Ward 8,6620,River Valley Gold Bar,40-44,0
Ward 12,6663,Decoteau,60-64,19
Ward 9,5578,Glenridding Heights,70-74,26
Ward 6,1140,McCauley,45-49,246
Ward 1,4730,Suder Greens,5-9,235
Ward 5,4220,Jamieson Place,35-39,221
Ward 5,4420,Quesnell Heights,60-64,28
Ward 3,2410,Kilkenny,75-79,166
Ward 4,2080,Belvedere,60-64,280
Ward 11,6190,Edmonton Research and Development Park,70-74,0
Ward 9,5565,Whitemud Creek Ravine Twin Brooks,85+,0
Ward 6,3300,McQueen,Prefer Not to Answer,316
Ward 9,5456,Heritage Valley Area,5-9,0
Ward 3,3180,Dunluce,80-84,87
Ward 4,2430,Kirkness,20-24,244
Ward 11,6410,Maple Ridge,45-49,110
Ward 11,6780,Weir Industrial,55-59,0
Ward 2,1170,Prince Rupert,70-74,32
Ward 11,6100,Coronet Industrial,5-9,0
Ward 9,5130,Carter Crest,10-14,87
Ward 12,6770,Weinlos,10-14,143
Ward 2,3480,Hudson,75-79,33
Ward 11,6430,McIntyre Industrial,15-19,0
Ward 4,2521,McConachie Area,60-64,186
Ward 2,1170,Prince Rupert,50-54,86
Ward 11,6290,Hazeldean,70-74,73
Ward 1,4486,Stewart Greens,0-4,93
Ward 1,4530,Sunwapta Industrial,70-74,0
Ward 5,4610,Westridge,30-34,50
Ward 7,2420,Killarney,20-24,229
Ward 1,4486,Stewart Greens,45-49,59
Ward 3,3180,Dunluce,10-14,330
Ward 9,5130,Carter Crest,65-69,132
Ward 8,6550,Ottewell,20-24,375
Ward 5,4380,Ormsby Place,Prefer Not to Answer,648
Ward 7,2100,Beverly Heights,0-4,110
Ward 12,6140,Crawford Plains,50-54,268
Ward 4,2320,Hairsine,0-4,97
Ward 2,3410,Sherbrooke,75-79,46
Ward 9,5463,Desrochers Area,5-9,92
Ward 10,5170,Empire Park,15-19,235
Ward 2,3220,Hagmann Estate Industrial,30-34,0
Ward 7,2330,Highlands,20-24,119
Ward 8,6070,Cloverdale,20-24,38
Ward 2,3070,Calder,5-9,190
Ward 11,6260,Girard Industrial,80-84,0
Ward 7,2290,Glengarry,70-74,102
Ward 11,6760,Tweddle Place,50-54,140
Ward 4,2380,Kennedale Industrial,20-24,0
Ward 11,6330,Jackson Heights,60-64,275
Ward 2,4210,High Park Industrial,10-14,0
Ward 9,5575,Windermere Area,75-79,0
Ward 3,2463,Crystallina Nera West,45-49,176
Ward 1,4310,Meadowlark Park,25-29,143
Ward 1,4030,Armstrong Industrial,60-64,0
Ward 6,1180,Queen Mary Park,85+,52
Ward 11,6690,Southeast Industrial,15-19,0
Ward 5,4560,Thorncliff,70-74,102
Ward 3,2600,Ozerna,50-54,339
Ward 1,4730,Suder Greens,80-84,21
Ward 2,3010,Athlone,65-69,171
Ward 9,8888,Edmonton South West,10-14,12
Ward 3,3040,Beaumaris,45-49,182
Ward 1,4670,Winterburn Industrial Area West,80-84,0
Ward 11,6370,Kiniski Gardens,50-54,426
Ward 9,5640,Terwillegar Towne,35-39,449
Ward 9,5090,Brookside,70-74,76
Ward 11,6570,Parsons Industrial,5-9,0
Ward 11,6200,Ekota,70-74,102
Ward 10,5270,Lendrum Place,80-84,48
Ward 7,2230,Delwood,10-14,120
Ward 1,4190,Hawin Park Estate Industrial,40-44,0
Ward 2,1250,Westwood,60-64,120
Ward 5,4451,River Valley Oleskiw,25-29,0
